NOM,NOM_ALPHA,CODE,ARTICLE,NOM_LONG,CAPITALE
Afghanistan,Afghanistan,AFG,l',Republique islamique d'Afghanistan,Kaboul
Afrique du Sud,Afrique du Sud,ZAF,l',Republique d'Afrique du Sud,Pretoria
Albanie,Albanie,ALB,l',Republique d'Albanie,Tirana
Algerie,Algerie,DZA,l',Republique algerienne democratique et populaire,Alger
Allemagne,Allemagne,DEU,l',Republique federale d'Allemagne,Berlin
Andorre,Andorre,AND,l',Principaute d'Andorre,Andorre-la-Vieille
Angola,Angola,AGO,l',Republique d'Angola,Luanda
Antigua-et-Barbuda,Antigua-et-Barbuda,ATG,,Antigua-et-Barbuda,Saint John's
Arabie saoudite,Arabie saoudite,SAU,l',Royaume d'Arabie saoudite,Riyad
Argentine,Argentine,ARG,l',Republique argentine,Buenos Aires
Armenie,Armenie,ARM,l',Republique d'Armenie,Erevan
Australie,Australie,AUS,l',Commonwealth d'Australie,Canberra
Autriche,Autriche,AUT,l',Republique d'Autriche,Vienne
Azerbaidjan,Azerbaidjan,AZE,l',Republique d'Azerbaidjan,Bakou
Bahamas,Bahamas,BHS,les,Commonwealth des Bahamas,Nassau
Bahrein,Bahrein,BHR,,Royaume de Bahrein,Manama
Bangladesh,Bangladesh,BGD,l',Republique populaire du Bangladesh,Dacca
Barbade,Barbade,BRB,la,Barbade,Bridgetown
Belgique,Belgique,BEL,la,Royaume de Belgique,Bruxelles
Belize,Belize,BLZ,le,Belize,Belmopan
Benin,Benin,BEN,le,Republique du Benin,Porto-Novo
Bhoutan,Bhoutan,BTN,le,Royaume du Bhoutan,Thimphou
Bielorussie,Bielorussie,BLR,la,Republique de Bielorussie,Minsk
Birmanie,Birmanie,MMR,la,Republique de l'Union de Birmanie,Naypyidaw
Bolivie,Bolivie,BOL,la,etat plurinational de Bolivie,Sucre / La Paz
Bosnie-Herzegovine,Bosnie-Herzegovine,BIH,la,Bosnie-Herzegovine,Sarajevo
Botswana,Botswana,BWA,le,Republique du Botswana,Gaborone
Bresil,Bresil,BRA,le,Republique federative du Bresil,Brasilia
Brunei,Brunei,BRN,le,Brunei Darussalam,Bandar Seri Begawan
Bulgarie,Bulgarie,BGR,la,Republique de Bulgarie,Sofia
Burkina,Burkina,BFA,le,Burkina Faso,Ouagadougou
Burundi,Burundi,BDI,le,Republique du Burundi,Gitega
Cambodge,Cambodge,KHM,le,Royaume du Cambodge,Phnom Penh
Cameroun,Cameroun,CMR,le,Republique du Cameroun,Yaounde
Canada,Canada,CAN,le,Canada,Ottawa
Cap-Vert,Cap-Vert,CPV,le,Republique du Cap-Vert,Praia
Centrafrique,Centrafrique,CAF,la,Republique centrafricaine,Bangui
Chili,Chili,CHL,le,Republique du Chili,Santiago
Chine,Chine,CHN,la,Republique populaire de Chine,Pekin
Chypre,Chypre,CYP,,Republique de Chypre,Nicosie
Colombie,Colombie,COL,la,Republique de Colombie,Bogota
Comores,Comores,COM,les,Union des Comores,Moroni
Congo,Congo,COG,le,Republique du Congo,Brazzaville
Republique democratique du Congo,Congo (Republique democratique du),COD,la,Republique democratique du Congo,Kinshasa
iles Cook,Cook (iles),COK,les,iles Cook,Avarua
Coree du Nord,Coree du Nord,PRK,la,Republique populaire democratique de Coree,Pyongyang
Coree du Sud,Coree du Sud,KOR,la,Republique de Coree,Seoul
Costa Rica,Costa Rica,CRI,le,Republique du Costa Rica,San Jose
Côte d'Ivoire,Côte d'Ivoire,CIV,la,Republique de Côte d'Ivoire,Yamoussoukro
Croatie,Croatie,HRV,la,Republique de Croatie,Zagreb
Cuba,Cuba,CUB,,Republique de Cuba,La Havane
Danemark,Danemark,DNK,le,Royaume du Danemark,Copenhague
Djibouti,Djibouti,DJI,le,Republique de Djibouti,Djibouti
Republique dominicaine,Dominicaine (Republique),DOM,la,Republique dominicaine,Saint-Domingue
Dominique,Dominique,DMA,la,Commonwealth de la Dominique,Roseau
egypte,egypte,EGY,l',Republique arabe d'egypte,Le Caire
emirats arabes unis,emirats arabes unis,ARE,les,emirats arabes unis,Abou Dabi
equateur,equateur,ECU,l',Republique d'equateur,Quito
erythree,erythree,ERI,l',etat d'erythree,Asmara
Espagne,Espagne,ESP,l',Royaume d'Espagne,Madrid
Estonie,Estonie,EST,l',Republique d'Estonie,Tallinn
Eswatini,Eswatini,SWZ,le,Royaume d'Eswatini,Mbabane
etats-Unis,etats-Unis,USA,les,etats-Unis d'Amerique,Washington
ethiopie,ethiopie,ETH,l',Republique democratique federale d'ethiopie,Addis Abeba
Fidji,Fidji,FJI,les,Republique des Fidji,Suva
Finlande,Finlande,FIN,la,Republique de Finlande,Helsinki
France,France,FRA,la,Republique française,Paris
Gabon,Gabon,GAB,le,Republique gabonaise,Libreville
Gambie,Gambie,GMB,la,Republique de Gambie,Banjul
Georgie,Georgie,GEO,la,Georgie,Tbilissi
Ghana,Ghana,GHA,le,Republique du Ghana,Accra
Grece,Grece,GRC,la,Republique hellenique,Athenes
Grenade,Grenade,GRD,la,Grenade,Saint-Georges
Guatemala,Guatemala,GTM,le,Republique du Guatemala,Guatemala
Guinee,Guinee,GIN,la,Republique de Guinee,Conakry
Guinee equatoriale,Guinee equatoriale,GNQ,la,Republique de Guinee equatoriale,Malabo
Guinee-Bissao,Guinee-Bissao,GNB,la,Republique de Guinee-Bissao,Bissao
Guyana,Guyana,GUY,le,Republique cooperative du Guyana,Georgetown
Haiti,Haiti,HTI,,Republique d'Haiti,Port-au-Prince
Honduras,Honduras,HND,le,Republique du Honduras,Tegucigalpa
Hongrie,Hongrie,HUN,la,Hongrie,Budapest
Inde,Inde,IND,l',Republique de l'Inde,New Delhi
Indonesie,Indonesie,IDN,l',Republique d'Indonesie,Jakarta
Irak,Irak,IRQ,l',Republique d'Irak,Bagdad
Iran,Iran,IRN,l',Republique islamique d'Iran,Teheran
Irlande,Irlande,IRL,l',Irlande,Dublin
Islande,Islande,ISL,l',Republique d'Islande,Reykjavik
Israël,Israël,ISR,,etat d'Israël,
Italie,Italie,ITA,l',Republique italienne,Rome
Jamaique,Jamaique,JAM,la,Jamaique,Kingston
Japon,Japon,JPN,le,Japon,Tokyo
Jordanie,Jordanie,JOR,la,Royaume hachemite de Jordanie,Amman
Kazakhstan,Kazakhstan,KAZ,le,Republique du Kazakhstan,Nour-Soultan
Kenya,Kenya,KEN,le,Republique du Kenya,Nairobi
Kirghizstan,Kirghizstan,KGZ,le,Republique kirghize,Bichkek
Kiribati,Kiribati,KIR,les,Republique des Kiribati,Bairiki
Kosovo,Kosovo,KOS,le,Republique du Kosovo,Pristina
Koweit,Koweit,KWT,le,etat du Koweit,Koweit
Laos,Laos,LAO,le,Republique democratique populaire lao,Vientiane
Lesotho,Lesotho,LSO,le,Royaume du Lesotho,Maseru
Lettonie,Lettonie,LVA,la,Republique de Lettonie,Riga
Liban,Liban,LBN,le,Republique libanaise,Beyrouth
Liberia,Liberia,LBR,le,Republique du Liberia,Monrovia
Libye,Libye,LBY,la,etat de Libye,Tripoli
Liechtenstein,Liechtenstein,LIE,le,Principaute du Liechtenstein,Vaduz
Lituanie,Lituanie,LTU,la,Republique de Lituanie,Vilnius
Luxembourg,Luxembourg,LUX,le,Grand-Duche de Luxembourg,Luxembourg
Macedoine du Nord,Macedoine du Nord,MKD,l',Republique de Macedoine du Nord,Skopje
Madagascar,Madagascar,MDG,,Republique de Madagascar,Antananarivo (Tananarive)
Malaisie,Malaisie,MYS,la,Malaisie,Kuala Lumpur
Malawi,Malawi,MWI,le,Republique du Malawi,Lilongwe
Maldives,Maldives,MDV,les,Republique des Maldives,Male
Mali,Mali,MLI,le,Republique du Mali,Bamako
Malte,Malte,MLT,,Republique de Malte,La Valette
Maroc,Maroc,MAR,le,Royaume du Maroc,Rabat
iles Marshall,Marshall (iles),MHL,les,Republique des iles Marshall,Delap-Uliga-Darrit
Maurice,Maurice,MUS,,Republique de Maurice,Port-Louis
